partner,group,y2013,y2016,growth
Finland,продукти АПК,1286289.7221092652,1238895,-0.036846070752666105
Finland,руди і метали,21629859.699465558,38662269,0.7874489033766265
Finland,споживчі товари,2301492.3653624705,2910572,0.2646455160156933
Finland,хімія і добрива,2888855.1774069443,1980763,-0.3143432680561211
France,ліс і деревина,12989681.15594755,23012957,0.7716337086120948
France,машини і обладнання,38088885.495125644,16868282,-0.5571337470045248
France,продукти АПК,364899023.5505724,346148689,-0.05138499513680872
France,руди і метали,59080096.840388924,22215717,-0.6239729081687512
France,споживчі товари,33541874.847999744,31501848,-0.060820298723444854
France,хімія і добрива,16274365.105946656,18325714,0.12604785997481271
Germany,ліс і деревина,86481346.86894995,137421872,0.5890348262989369
Germany,машини і обладнання,436277527.1161838,462627753,0.060397852848374844
Germany,продукти АПК,159259408.9044967,233615918,0.46688926956957855
Germany,руди і метали,318041700.1225241,292392613,-0.08064693124405664
Germany,споживчі товари,219245574.09461084,230643910,0.05198889853288646
Germany,хімія і добрива,92423999.40479493,63846603,-0.3091988724663688
Greece,ліс і деревина,1085900.868940555,4455369,3.102924242382109
Greece,машини і обладнання,6942430.84324636,3432640,-0.5055564718603869
Greece,продукти АПК,56816674.41691413,94054376,0.6554009358210577
Greece,руди і метали,87839233.15554641,48383536,-0.4491808015409009
Greece,споживчі товари,1225638.623341349,3434397,1.802128567584718
Greece,хімія і добрива,6182208.034115208,5387375,-0.12856782394398414
Hungary,ліс і деревина,50069219.49145304,73201597,0.462007951062543
Hungary,машини і обладнання,492196474.6144107,581397425,0.18123037239441797
Hungary,продукти АПК,24202519.516769875,35124239,0.45126374035820893
Hungary,руди і метали,398284282.58366734,159061523,-0.6006331910258447
Hungary,споживчі товари,54517439.475815855,60238311,0.10493654102595817
Hungary,хімія і добрива,182736019.89163217,144583286,-0.20878606152338142
Italy,ліс і деревина,57186178.47493607,66292320,0.15923675559217565
Italy,машини і обладнання,26481325.90209787,37195152,0.40458042537263483
Italy,продукти АПК,415134148.046633,601648633,0.44928726251740536
Italy,руди і метали,947020402.6018057,1065612842,0.12522691071108727
Italy,споживчі товари,118215035.83244312,99340600,-0.15966188818142868
Italy,хімія і добрива,91979579.0815813,59834568,-0.34947986718954516
Latvia,ліс і деревина,7585213.208280948,13010102,0.7151926574452223
Latvia,машини і обладнання,52773168.93471117,18323419,-0.6527891091272349
Latvia,продукти АПК,31363420.044042367,33530081,0.06908241999485631
Latvia,руди і метали,22244684.047485437,15037104,-0.32401359498294113
Latvia,споживчі товари,18078431.606102053,15650084,-0.13432291356969306
Latvia,хімія і добрива,15240404.708749173,40568290,1.6618905977418472
Lithuania,ліс і деревина,27637910.768309664,43303441,0.5668131127209817
Lithuania,машини і обладнання,55133049.058387175,45696168,-0.17116559340647564
Lithuania,продукти АПК,75610800.45976059,79657353,0.0535181814718777
Lithuania,руди і метали,39399542.164802976,26048021,-0.33887503334316327
Lithuania,споживчі товари,18652427.511568226,24550941,0.31623302032797174
Lithuania,хімія і добрива,35984754.67474042,37355292,0.038086610222790585
Netherlands,ліс і деревина,17151382.03761416,24261157,0.4145307326717822
